ReviewBody,subjetivo,polaridade
['Não da pra ir a Natal e não comer a melhor carne de sol.'],[0.3],[1.0]
"['Muito saborosa, macia.']",[0.32499999999999996],[0.15000000000000002]
['Fomos muito bem atendidos e a comida chegou bem rápido.'],[0.475],[0.31666666666666665]
"['A vista então, nem se fala.']",[0.0],[0.0]
['Tudo muito bonito.'],[1.0],[1.0]
"['Otimo lugar, hambiente clean, atendimento nota 10, comida boa.']",[0.6833333333333335],[0.6222222222222222]
['super recomendo.'],[0.6666666666666666],[0.3333333333333333]
"['internet de boa qualidade, otimo preço.']",[0.675],[0.75]
"['Restaurante muito bonito , comida bem feita , porém o atendimento é péssimo , garçons passam por nós e não atendem ....']",[1.0],[-0.10999999999999999]
['Fui 1 vez a caneca zero grau muito gelada e atendimento e petisco bom e bem servido.'],[0.8],[-0.040000000000000036]
"['Na 2°vez comemorei meu niver lá e agora com rodízio de petisco dia de semana, gostei só achei que eles seguram um pouco os petiscos tendo q ficar pedindo algumas vezes,música ao vivo boa,só estava muito calor acho a dia de semana eles ñ colocam as mesas na calçada,música estava bastante alta oq fazia com que a gente tivesse q gritar p conversar.']",[0.5444444444444444],[0.19431818181818183]
['Mas virou um dos meus queridinhos do Pólo.'],[0.0],[0.0]
"['Rodizio estava 29,90.']",[0.0],[0.0]
"['O atendimento é um destaque do madeiro Cuiabá, funcionários muito comprometidos, comida boa e ambiente ótimo, recomendo sem medo.']",[0.55],[0.5666666666666667]
"['O problema de ir em restaurante famoso é que chegamos lá com espectativas altas daí não avaliamos com isenção, se for sem pré concepção verá um ótimo restaurante.']",[0.77],[0.33]
['Gostei muito de almoçar no Oliva e vou sempre lá.'],[0.7],[0.5]
['Mas ontem inventei de ir para um rodízio de pizza no restaurante imaginando que seria tão bom quanto o almoço.'],[0.6000000000000001],[0.7]
['Conselho: não vá para o rodízio.'],[0.0],[0.0]
"['O rodízio é caro demais para os sabores da pizza que oferecem: queijo e presunto, marguerita, frango, calabresa, e os melhores eram quatro queijos e peperoni e apenas uma vez apareceu uma de camarão.']",[0.7375],[-0.025000000000000022]
"['Já fui para rodízios de mesmo valor com uma variedade de pizzas maior e sabores menos ""comuns"".']",[0.29791666666666666],[-0.11666666666666667]
"['Além disso, o local não estava cheio e as pizzas demoravam uma vida para chegar na mesa (imagine se o local estivesse cheio).']",[0.55],[0.0875]
['lugar agradável com ótimo atendimento e ótimos preços .musica ao vivo variada .'],[0.8333333333333334],[0.7333333333333334]
"['lugar para ir com amigos , família']",[0.5],[0.13636363636363635]
['Estivemos em Campo Grande para um fim de semana e resolvemos almoçar no domingo no Yallah.'],[0.0],[0.0]
['Comida excelente!'],[0.75],[1.0]
['Atendimento muito especial!'],[0.7428571428571429],[0.5803571428571429]
['Vale a pena visita!'],[0.1],[0.375]
['Restaurante simples com a melhor comida libanesa que comi.'],[0.32857142857142857],[0.5]
['..'],[0.0],[0.0]
['A começar pelo atendimento da Valeria e do restante da equipe: impecável!!!'],[0.425],[0.5]
"['Havia espera de uns 45 minutos, mas sentamos muito antes disso.']",[0.34444444444444444],[-0.1027777777777778]
"['Pedimos um guioza de entrada, que estava muito saboroso (massa e recheio).']",[0.3],[0.2]
['Os drinks muito bons e os ramens (Shoyu e Tom Tom) estavam excepcionais.'],[0.8900000000000001],[0.7883333333333333]
['A experiência e a satisfação não podiam ser melhores.'],[0.5],[0.5]
['Uma grata surpresa com os sabores e quantidades.'],[0.9666666666666667],[0.7333333333333333]
['Preços justos pela qualidade e sabores servidos.'],[0.9],[0.7]
['Nota 10!!!'],[0.0],[0.0]
['!'],[0.0],[0.0]
"['Trata-se de praticamente uma boate a várias mãos, pois são muitos estabelecimentos de comidas e bebidas e um espaço com palco e banda coletivos, quase uma balada.']",[0.25],[0.25]
"['Comida lusitana da melhor qualidade, cardápio bem humorado (Lula à moda FHC, sobremesa Viva o Gordo, Siri Dando Sopa, etc.']",[0.65],[0.75]
[')... Imperdível!'],[0.0],[0.0]
['Ótima localização entre as praias de Iracema e Meireles.'],[0.75],[0.8]
"['Sempre lotado e comida de ótima qualidade, mas prepare o bolso pois os preços são bem salgados.']",[0.645],[0.48000000000000004]
['..'],[0.0],[0.0]
"['Gostei muito do boi bom , excelente estabelecimento, super cordiais com os clientes, vale a pena conferir']",[0.6111111111111112],[0.5513888888888888]
['A comida é muito boa e apesar de cheio o atendimento é rápido.'],[0.6433333333333334],[0.4866666666666666]
['O que chama mais atenção é o ambiente que lembra uma construção inacabada com música ambiente.'],[0.5],[0.5]
['Recomendo!'],[0.0],[0.0]
['!'],[0.0],[0.0]
['Estivemos no restaurante do shopping no dia 1/12.'],[0.0],[0.0]
['Fomos muito bem atendidos.'],[0.3],[0.2]
"['Solicitamos um prato de peixe com camarão que não foi entregue de acordo com o cardápio, mas a cozinha e a atendente providenciaram em complementar o prato de acordo com o solicitado.']",[0.4],[0.2]
['Informaram que o cardápio havia mudado há poucos dias e a cozinha ainda não havia se acostumado com as novidades.'],[0.1],[-0.2]
['Prato saboroso e lugar agradável.'],[1.0],[0.6]
"['Ambiente bem bacana, adoro o atendimento, comida ótima.']",[0.7833333333333333],[0.6933333333333334]
['Indico o sanduiche Mercado São Sebastião.'],[0.0],[0.0]
['Perfeita com uma Endiger Dunkel 😉'],[1.0],[1.0]
['Mas valeu a pena.'],[0.1],[0.3]
['Que camarões deliciosos.'],[1.0],[1.0]
"['Foi uma escolha sem pretenção pois estavamos com pressa, mas muito bom, só o preço que desagradou.']",[0.8900000000000001],[0.45499999999999996]
['.. salgou'],[0.0],[0.0]
['Comida deliciosa e atendimento cordial; garçons atenciosos ...sem contar na localização.'],[0.7999999999999999],[0.5916666666666667]
['Voltarei com certeza.'],[0.4444444444444444],[0.25]
['Melhor sobremesa da vida!'],[0.3],[1.0]
"['Estava fazendo compras e paramos nesse restaurante por kg para almoçar, nos pareceu o mais tranquilo e limpo na região.']",[0.5666666666666668],[0.37222222222222223]
['Foi um almoço simples ambiente limpo e comida para o dia a dia.'],[0.5285714285714286],[0.18333333333333335]
['Foi uma boa opção para a região.'],[0.6000000000000001],[0.7]
['Acredito que uma das melhores em custo benéfico'],[0.3],[1.0]
['Ótimo ambiente.'],[0.75],[0.8]
['Comida saborosa.'],[0.0],[0.0]
['Preço justo.'],[0.9],[0.7]
['Boa opção para comemorar aniversário poisbtem um ambiente separado.'],[0.6000000000000001],[0.7]
"['Esse restaurante serve uma comida simples mas muito boa, o filés são a melhor parte do cardápio, mas fique atento à mostarda que vem na mesa, certamente a mais forte que eu já provei em toda minha vida!']",[0.5267142857142858],[0.4248571428571428]
"['O atendimento é rápido e o ambiente é simples mas confortável, uma boa opção.']",[0.5892857142857143],[0.325]
"['Já fui algumas vezes ao Pasta em Casa, e a experiência é sempre extremamente agradável.']",[0.5333333333333333],[0.2666666666666666]
"['O é dividido entre o restaurante, uma mercearia e uma forneria.']",[0.0],[0.0]
"['A comida é muito boa, segue um modelo de cozinha mais artesanal e de menor escala, e consegue ter qualidade constante.']",[0.5283333333333334],[0.3525]
"['O ambiente, que modificou bastante e cresceu ao longo do tempo, é bem charmoso!']",[1.0],[1.0]
"['A decoração é descolada, com iluminação na medida e tudo de muito bom gosto.']",[0.475],[0.55]
"['O atendimento é muito bom, com os donos sempre presentes, e é um dos poucos restaurantes de Salvador que não cobra taxa de serviço.']",[0.2933333333333334],[0.23666666666666666]
"['Há pouco tempo abriram  uma Forneria anexa ao restaurante, que consegue ser ainda melhor do que o restaurante.']",[0.375],[0.25]
['Tem ótimos pratos feitos no forno à lenha e os MELHORES drinques da cidade.'],[0.525],[0.9]
['O Gin Tonic é impedível!!'],[0.0],[0.0]
['!'],[0.0],[0.0]
"['Ambiente agradável, atendimento rápido, produtos excelentes e ótimo ambiente a preços justos e atendimento cordial.']",[0.8433333333333334],[0.6866666666666668]
['Frontera passou por uma fase complicada e cheguei a parar de frequentar mas felizmente foi superada!'],[0.9166666666666667],[-0.041666666666666685]
['Alem do Buffet conta com o rodizio de pizza.'],[0.0],[0.0]
['Tudo muito gostoso e caprichado.'],[0.3],[0.2]
['Atendimento muito bom!'],[0.7800000000000001],[1.0]
['Voltei.'],[0.0],[0.0]
['Recomendo!'],[0.0],[0.0]
['Vista linda e ótimo atendimento.'],[0.875],[0.825]
"['Se quiser entrada, vale a pena experimentar o palmito.']",[0.1],[0.3]
"['O polvo estava delicioso, no ponto certo.']",[0.7678571428571428],[0.6428571428571428]
"['Por fim, adorei a torta de chocolate com castanhas.']",[0.8],[0.7]
['Acho muito interessante ter a promoção do UBER ao faze a reserva no site do restaurante.'],[0.65],[0.65]
"['Não como carne há anos, mas minha família come, então sempre vamos ao Rio Brasa, que além das melhores carnes, possuem muitas opções de frutos do mar.']",[0.4],[0.75]
['O polvo com alho e óleo é demais!'],[1.0],[1.0]
['O salmão mega fresco e saboroso.'],[0.5],[0.3]
"['Ainda na comida japonesa, tem uma especialidade na casa, coxinhas de salmão (fina fatia de salmão recheada de cream cheese e coberta com gergelim triturado e molho doce) delícia!']",[0.52],[0.16999999999999998]
['Carta de vinho com bons rótulos.'],[0.6000000000000001],[0.7]
"['Se puder, vá de dia de semana, a qualidade no atendimento é mil vezes melhor que finais de semana, onde tem muita fila, barulho e correria!']",[0.5],[0.625]
['Dia de semana é tratamento vip e exclusivo!'],[0.0],[0.0]
['Situada no largo Zumbi dos Palmares tem o ponto alto no estacionamento que é em frente.'],[0.0],[0.0]
['As mesas e cadeiras são desconfortáveis é muito juntas dificultando inclusive o atendimento que mesmo assim é bom.'],[0.725],[-0.025000000000000022]
['A climatização é razoável mas o local é muito úmido.'],[0.44999999999999996],[0.2]
['O WiFi é sem senha mas muito lento.'],[0.52],[-0.39000000000000007]
['O nível de ruído do ambiente é muito alto.'],[0.702],[0.20800000000000002]
['Os toaletes são muito simples e sem cuidado com a limpeza e com um agravante do masculino estar localizado no piso superior com acesso por escada fixa estreita.'],[0.33285714285714285],[0.08]
"['A carta de cervejas é razoável mas com preços altos e a carta de vinhos tem 38 itens com preços desde R$ 10,00 (taça) até R$ 87,09 (Andeluna Malbec Argentino).']",[0.57],[0.18]
"['Os preços das pizzas são: individual R$ 29,90, 1/4 metro R$ 44,90 e 1/2 metro R$ 69,90.']",[0.4],[0.0]
['A massa é alta e se aproxima da que se faz em casa sem descanso da massa é servida com temperatura de 48 graus e ainda com a pedra com temperatura em torno de 70 graus e portanto sem capacidade de manter a temperatura adequada para consumo.'],[0.645],[0.35500000000000004]
"['Os preços são altos para que é oferecido mas a empresa trabalha com site de descontos e daí os preços ficam adequados, o que acho injusto pois meu no caso paguei o preço alto já que não verifiquei antes e não imprimi do boleto que me daria o desconto.']",[0.6033333333333333],[0.03833333333333332]
['Custo x benefício ruim.'],[0.6666666666666666],[-0.6999999999999998]
"['Este bar, fica a cerca de 30 metros do Palace flat, tem um atendimento excelente, varias marcas de cervejas, sempre bem geladas e assim com o a picanha fatiada no ponto , lugar de gente feliz.']",[0.625],[0.199]
"['Quando chegamos à Maceio, ouvi falar muito do Imperador doa Camarões, e obviamente precisei vir conhecer.']",[0.5],[0.0]
"['Escolhemos o prato chefe da casa, que é o famoso ""chiclete de camarão"".']",[0.6666666666666666],[0.3333333333333333]
"['Eh bem diferente e é gostoso, porém tem que gostar muito de queijo, pois o prato tem 04 tipos de queijo diferentes e tem muito camarão, essa é a melhor parte.']",[0.6699999999999999],[0.5]
"['Eles cobram R$6,00 por pessoa de couvert artístico mais a taxa de serviço.']",[0.0],[0.0]
"['Quando eu fui, eu paguei apenas o couvert artístico e optei por não tenho pagar a taxa de serviço, pois achei um absurdo pagar o couvert artístico por pessoa mais a taxa de serviço.']",[1.0],[-0.05555555555555556]
['Quem não gosta de um churrasco?'],[0.0],[0.0]
"['esse lugar é um lugar lindo,agradável e muito confortável,vale a pena.']",[0.7666666666666667],[0.6008333333333333]
['Saímos de longe e de outros estados em um grupo de 20 pessoas para Nos divertir-mos.'],[0.19166666666666665],[0.05833333333333333]
['.'],[0.0],[0.0]
"['Se você não se importa com pedidos errados e com abelhas ou cabelos como na ""pititinga"" que pedimos aqui é o lugar ideal!']",[0.95],[0.25]
"['Conheço a tradição da casa por fama, mas se depender do sanduíche, realmente estão num nível bem alto.']",[0.702],[0.20800000000000002]
['O pitú da Eliane é uma delicia!'],[0.0],[0.0]
"['O Pedro, irmão da Eliane, é um capitulo a mais nessa deliciosa surpresa.']",[1.0],[1.0]
['Fui ao La Bocca depois de ler tantos comentários elogiosos e empolgados.'],[0.5833333333333334],[0.39166666666666666]
['Antes de tudo quero dizer que não entendo o porquê de alguns criticarem tanto a localização.'],[0.26666666666666666],[0.225]
"['É uma rua calma, residencial, cujas casinhas lembram bastante os subúrbios cariocas.']",[0.4916666666666667],[0.0]
['Uma graça!'],[0.0],[0.0]
['Agora falarei da comida.'],[0.0],[0.0]
['Pedi o tão elogiado gnocchi de banana da terra com ragu de ossobuco.'],[0.5399999999999999],[0.16]
"['A primeira garfada é deliciosa, mas, aos poucos, torna-se enjoativo dada a ausência de nuances, texturas e camadas de sabores.']",[0.4666666666666666],[0.17250000000000001]
['O molho de ossobuco peca pelo excesso de sal.'],[0.0],[0.0]
"['No geral, um prato correto, mas nada esplendoroso.']",[0.5],[0.4166666666666667]
"['Ressalto, entretanto, que é um oásis comer uma massa fabricada na casa nesse Rio de Janeiro povoado de massas de salgadinho de terceira congeladas disfarçadas de gnocchi.']",[0.0],[0.0]
['Local com uma decoração criativa.'],[1.0],[0.5]
['Pequeno.'],[0.5],[-0.1875]
"['Não possui muita variedade e a comida vai de boa a sem graça, depende do prato e do dia.']",[0.5444444444444444],[0.24444444444444444]
"['O preço é bom para o self-service, mas as bebidas são caras.']",[0.65],[0.09999999999999998]
"['Ao visitar o Shopping Salvador,e caso goste de comida árabe uma boa opção é o Farid,lá você poderá saborear as delicias do restaurante com qualidade de um bom serviço.']",[0.6000000000000001],[0.7]
['Um restaurante agradável com uma carta de vinhos diferenciada e com ótimas opções no cardápio.'],[0.7833333333333333],[0.4666666666666666]
['Sugiro o prato de salmão e o vinho “Primitivo de Manduria”.'],[0.0],[0.0]
"['Atendimento bom, comida muito saborosa e bem servida.']",[0.45000000000000007],[0.44999999999999996]
['Provavelmente vou voltar.'],[0.0],[0.0]
['Tem opções pra quem não come sushi.'],[0.0],[0.0]
['Senti falta de um espaço kids'],[0.0],[0.0]
"['Nova padaria que apareceu na cidade do natal, a comida é perfeita em qualquer horario, café almoço e janta.']",[0.7272727272727273],[0.5681818181818181]
['preço um pouco salgado mais que vale a pena pelo otimo atendimento e a qualidade dos alimentos.'],[0.37916666666666665],[0.35833333333333334]
"['Chocolates ""caseiros"", mas elaborados com requinte e sofisticação.']",[0.0],[0.0]
"['Achei um pouco gordurosos, mas mesmo assim são gostosos.']",[0.75],[0.40625]
"['Comida muito bem feita e muito gostosa, parece com a comida que comemos em casa, bom atendimento, a comida está sempre quentina e o atendimento sempre muito bom.']",[0.5160000000000001],[0.522]
['Adoro crepes e estes são leves e apetitosos.'],[0.6333333333333333],[0.3666666666666667]
['Gostei muito dos crepes doces com sorvetes.'],[0.7250000000000001],[0.475]
['Os com saladas também são muito bons.'],[0.7800000000000001],[0.9099999999999999]
"['Adoro o Che, costumo frequentar ao menos 1 vez por mês.']",[0.5],[0.1]
['As carnes são muito deliciosas e os acompanhamentos também.'],[1.0],[1.0]
['A carta de vinhos é muito boa e eles sempre oferecem promoções em determinados vinhos.'],[0.6757142857142857],[0.562142857142857]
"['O lugar é muito bonito, meia luz, ideal para jantar em casal ou levar os amigos.']",[0.7166666666666667],[0.5333333333333333]
['Recomendo!'],[0.0],[0.0]
['Foi a melhor descoberta.'],[0.3],[1.0]
"['Todo encanto começa pela decoração muito aconchegante, passando pela simpatia das funcionárias e o ""ponto alto"" é a qualidade e variedade dos sorvetes, TODOS de excelente qualidade!!!']",[0.9875],[0.37]
['Sou fã desse lugar.'],[0.0],[0.0]
"['Amo a gastronomia, amo atendimento de qualidade, amo me sentir a vontade e amo coisas boas, rs.']",[0.6166666666666667],[0.5833333333333334]
['.. tudo isso eu encontrei na ONI UNO.'],[0.0],[0.0]
"['Desejo muuuuito sucesso e uma unidade em águas claras, rs.']",[0.19166666666666665],[0.2]
"['Não é só pra quem gosta de lanches leves, o local de atendimento mantém o mesmo padrão de qualquer subway no país.']",[0.27499999999999997],[0.13333333333333333]
['O situado na Avenida Abunã é ainda mais confortável.'],[0.65],[0.45]
['A comida é saborosa e as porções são muito bem servidas.'],[0.3],[0.2]
"['Apesar de ser um pouco caro, vale muito a parada!']",[0.43333333333333335],[-0.10416666666666667]
['desculpem desaponta-los masn nao entre na onda desse chiclete de camara nada mais e que um monte de queijo derretido em cima que tira todo sabor do camarao ou sera que tinha camarao no prato'],[0.6666666666666666],[0.16666666666666666]
['Restaurante a quilo com comida gourmet!'],[0.0],[0.0]
['Comida saborosa e bem elaborada.'],[0.0],[0.0]
"['Grande variedade de saladas, pratos quentes com ingredientes especiais e carnes nobres!']",[0.6803571428571429],[0.3142857142857143]
['E de sobremesa cheesecake de frutas vermelhas!'],[0.0],[0.0]
['Recomendo muito esse restaurante!!!'],[0.5399999999999999],[0.3125]
['Maravilhoso!'],[1.0],[1.0]
"['Excelente bar, música, ambiente, recepção sem falar a cerveja né.']",[0.7678571428571428],[0.6428571428571428]
['... são muitas opções para degustação.'],[0.5],[0.5]
"['Visite este lugar sem medo de ser feliz, não irá se arrepender.']",[1.0],[0.8]
['Nos amamos trufas entao foi maravilhoso.'],[0.9],[0.85]
"['.. O ambiente e pequeno, e bom chegar cedo, comemos de entrada 1 queijo empanado com mel de trufas brancas 😍 aqui tbm vende os produtos eu comprei 1 pote de mel para comer em casa, e finalizanos com 2 sobremesas um mousse e um brigadeiro com marshmelow e sorvete de mascarpone com trufas tambem.']",[0.0],[0.0]
['.. Tuuudo com trufas.'],[0.325],[0.13749999999999998]
['Muito bom.'],[0.0],[0.0]
"['A barraca foi bastante recomendada por um amigo que já conhecia Salvador, e por moradores em Stella Maris.']",[0.5399999999999999],[0.16]
"['O cardápio era bem diversificado com preços um pouco acima da média dos lugares que já havíamos frequentado, o problema foi que mais de 50% do que tentamos pedir estava em falta (segundo o garçom, que estava visivelmente cansado, o movimento no dia anterior havia superado todas as expectativas da barraca e os fornecedores só fariam entrega na terça).']",[0.43571428571428567],[-0.007142857142857141]
"['A barraca é bem estruturada, tem quiosque com massoterapeuta para quem deseja relaxar um pouco, acredito que nossa experiência teria sido positiva se tivéssemos ido no sábado ou domingo porém, para dias como foi o que nós visitamos, teria sido melhor que estivesse fechada.']",[0.4113636363636364],[0.10994318181818183]
"['Lugar super charmoso, com decoração de fazenda e comida deliciosa.']",[0.8888888888888888],[0.6777777777777777]
"['Provamos o carro chefe da casa, o rojão, uma espécie de kafta de carne de porco muito bem servido para duas pessoas.']",[0.6],[0.4]
"['Diz que é uma entrada, mas comemos como prato principal junto com saladinha para aplacar a culpa.']",[0.41666666666666663],[-0.010416666666666671]
"['A limonada de limão cravo é saborosa, mas o tamanho apresentado no cardápio engana.']",[0.0],[0.0]
"['Diz que são 450 ml, mas vem com tanto gelo e rodelas do limão dentro, que o suco mesmo deve ser metade disso.']",[0.18333333333333335],[0.016666666666666677]
"['Em geral gostamos muito, mas o lugar lota e vale a pena fazer reserva.']",[0.48750000000000004],[0.325]
"['Fizemos e deu tudo certo, mas vimos gente esperando um tempão para sentar.']",[0.34444444444444444],[-0.1027777777777778]
"['O frango desossado é delicioso, o melhor que já provei e os acompanhamentos também são deliciosos!']",[0.8125],[0.6]
['O ambiente deixa a desejar pois não possui ar condicionado e o calor fica mais intenso devido a churrasqueira.'],[0.625],[0.19166666666666665]
"['Um clássico de Copa, tudo bem simples.']",[0.31547619047619047],[0.08333333333333333]
['mais atendimento nota 10.'],[0.5],[0.5]
['E a comida?'],[0.0],[0.0]
['- MARAVILHOSA.'],[1.0],[1.0]
['Varias opçoes e tudo com muita fartura.'],[0.0],[0.0]
"['O Restaurante obtém um ótimo menu, excelentes pratos, ambiente referência, aconchegante e agradável com atendimento dos funcionários ótimo.']",[0.8133333333333332],[0.7866666666666667]
['Excelente massa e excelente carne.'],[1.0],[1.0]
['Nem percebi que a especialidade era pizzaria.'],[0.0],[0.0]
['Excelente custo x benefício quando comparado com os restaurante do eixo RJ-SP.'],[1.0],[1.0]
"['De passagem por BH, é a minha segunda vez no Glouton.']",[0.0],[0.0]
"['É uma unanimidade, está entre os melhores de BH!']",[0.3],[1.0]
['Vale ligar antes e fazer reserva.'],[0.0],[0.0]
"['Dessa vez fomos numa quarta-feira, após as 21h e ainda tinha fila de espera.']",[0.0],[0.0]
['Fomos numa entrada de queijo com um molho doce de entrada.'],[0.65],[0.35]
