ReviewBody,subjetivo,polaridade
"['Frio de mal frito mesmo, com o queijo em pedaços dentro do pastel, não deu tempo nem de derreter.']",1,-1
"['Paguei a conta, fui embora e não pretendo voltar nunca mais.']",0,0
['Sugiro que você também não vá.'],0,0
"['Tem lugar muito melhor na cidade pra você gastar seu dinheiro, vai por mim.']",1,1
"['Ótimo restaurante self-service, com farto e delicioso buffet, numa localização aprazível e conveniente junto ao Parque da Redenção.']",1,1
"['Além do grande salão, pode-se também escolher mesas ao ar livre no parque, o que sempre é a minha preferência.']",1,1
['Aos fins de semana pode haver fila.'],0,0
['O preço único é muito conveniente pois podemos servir-nos à vontade e quantas vezes nos aprouver; sobremesas incluidas.'],1,1
"['O único risco é comer demais, pois há grande variedade e tudo é muito saboroso!']",1,1
['Não da pra ir a Natal e não comer a melhor carne de sol.'],1,1
"['Muito saborosa, macia.']",1,1
['Fomos muito bem atendidos e a comida chegou bem rápido.'],1,1
"['A vista então, nem se fala.']",0,0
['Tudo muito bonito.'],1,1
"['Otimo lugar, hambiente clean, atendimento nota 10, comida boa.']",1,1
['super recomendo.'],1,1
"['internet de boa qualidade, otimo preço.']",1,1
"['Restaurante muito bonito , comida bem feita , porém o atendimento é péssimo , garçons passam por nós e não atendem ....']",1,-1
['Fui 1 vez a caneca zero grau muito gelada e atendimento e petisco bom e bem servido.'],1,-1
"['Na 2°vez comemorei meu niver lá e agora com rodízio de petisco dia de semana, gostei só achei que eles seguram um pouco os petiscos tendo q ficar pedindo algumas vezes,música ao vivo boa,só estava muito calor acho a dia de semana eles ñ colocam as mesas na calçada,música estava bastante alta oq fazia com que a gente tivesse q gritar p conversar.']",1,1
['Mas virou um dos meus queridinhos do Pólo.'],0,0
"['Rodizio estava 29,90.']",0,0
"['O atendimento é um destaque do madeiro Cuiabá, funcionários muito comprometidos, comida boa e ambiente ótimo, recomendo sem medo.']",1,1
"['O problema de ir em restaurante famoso é que chegamos lá com espectativas altas daí não avaliamos com isenção, se for sem pré concepção verá um ótimo restaurante.']",1,1
['Gostei muito de almoçar no Oliva e vou sempre lá.'],1,1
['Mas ontem inventei de ir para um rodízio de pizza no restaurante imaginando que seria tão bom quanto o almoço.'],1,1
['Conselho: não vá para o rodízio.'],0,0
"['O rodízio é caro demais para os sabores da pizza que oferecem: queijo e presunto, marguerita, frango, calabresa, e os melhores eram quatro queijos e peperoni e apenas uma vez apareceu uma de camarão.']",1,-1
"['Já fui para rodízios de mesmo valor com uma variedade de pizzas maior e sabores menos ""comuns"".']",1,-1
"['Além disso, o local não estava cheio e as pizzas demoravam uma vida para chegar na mesa (imagine se o local estivesse cheio).']",1,1
['lugar agradável com ótimo atendimento e ótimos preços .musica ao vivo variada .'],1,1
"['lugar para ir com amigos , família']",1,1
['Estivemos em Campo Grande para um fim de semana e resolvemos almoçar no domingo no Yallah.'],0,0
['Comida excelente!'],1,1
['Atendimento muito especial!'],1,1
['Vale a pena visita!'],0,1
['Restaurante simples com a melhor comida libanesa que comi.'],1,1
['..'],0,0
['A começar pelo atendimento da Valeria e do restante da equipe: impecável!!!'],1,1
"['Havia espera de uns 45 minutos, mas sentamos muito antes disso.']",1,-1
"['Pedimos um guioza de entrada, que estava muito saboroso (massa e recheio).']",1,1
['Os drinks muito bons e os ramens (Shoyu e Tom Tom) estavam excepcionais.'],1,1
['A experiência e a satisfação não podiam ser melhores.'],1,1
['Uma grata surpresa com os sabores e quantidades.'],1,1
['Preços justos pela qualidade e sabores servidos.'],1,1
['Nota 10!!!'],0,0
['!'],0,0
"['Trata-se de praticamente uma boate a várias mãos, pois são muitos estabelecimentos de comidas e bebidas e um espaço com palco e banda coletivos, quase uma balada.']",1,1
"['Comida lusitana da melhor qualidade, cardápio bem humorado (Lula à moda FHC, sobremesa Viva o Gordo, Siri Dando Sopa, etc.']",1,1
[')... Imperdível!'],0,0
['Ótima localização entre as praias de Iracema e Meireles.'],1,1
"['Sempre lotado e comida de ótima qualidade, mas prepare o bolso pois os preços são bem salgados.']",1,1
['..'],0,0
"['Gostei muito do boi bom , excelente estabelecimento, super cordiais com os clientes, vale a pena conferir']",1,1
['A comida é muito boa e apesar de cheio o atendimento é rápido.'],1,1
['O que chama mais atenção é o ambiente que lembra uma construção inacabada com música ambiente.'],1,1
['Recomendo!'],0,0
['!'],0,0
['Estivemos no restaurante do shopping no dia 1/12.'],0,0
['Fomos muito bem atendidos.'],1,1
"['Solicitamos um prato de peixe com camarão que não foi entregue de acordo com o cardápio, mas a cozinha e a atendente providenciaram em complementar o prato de acordo com o solicitado.']",1,1
['Informaram que o cardápio havia mudado há poucos dias e a cozinha ainda não havia se acostumado com as novidades.'],0,-1
['Prato saboroso e lugar agradável.'],1,1
"['Ambiente bem bacana, adoro o atendimento, comida ótima.']",1,1
['Indico o sanduiche Mercado São Sebastião.'],0,0
['Perfeita com uma Endiger Dunkel 😉'],1,1
['Mas valeu a pena.'],0,1
['Que camarões deliciosos.'],1,1
"['Foi uma escolha sem pretenção pois estavamos com pressa, mas muito bom, só o preço que desagradou.']",1,1
['.. salgou'],0,0
['Comida deliciosa e atendimento cordial; garçons atenciosos ...sem contar na localização.'],1,1
['Voltarei com certeza.'],1,1
['Melhor sobremesa da vida!'],1,1
"['Estava fazendo compras e paramos nesse restaurante por kg para almoçar, nos pareceu o mais tranquilo e limpo na região.']",1,1
['Foi um almoço simples ambiente limpo e comida para o dia a dia.'],1,1
['Foi uma boa opção para a região.'],1,1
['Acredito que uma das melhores em custo benéfico'],1,1
['Ótimo ambiente.'],1,1
['Comida saborosa.'],0,0
['Preço justo.'],1,1
['Boa opção para comemorar aniversário poisbtem um ambiente separado.'],1,1
"['Esse restaurante serve uma comida simples mas muito boa, o filés são a melhor parte do cardápio, mas fique atento à mostarda que vem na mesa, certamente a mais forte que eu já provei em toda minha vida!']",1,1
"['O atendimento é rápido e o ambiente é simples mas confortável, uma boa opção.']",1,1
"['Já fui algumas vezes ao Pasta em Casa, e a experiência é sempre extremamente agradável.']",1,1
"['O é dividido entre o restaurante, uma mercearia e uma forneria.']",0,0
"['A comida é muito boa, segue um modelo de cozinha mais artesanal e de menor escala, e consegue ter qualidade constante.']",1,1
"['O ambiente, que modificou bastante e cresceu ao longo do tempo, é bem charmoso!']",1,1
"['A decoração é descolada, com iluminação na medida e tudo de muito bom gosto.']",1,1
"['O atendimento é muito bom, com os donos sempre presentes, e é um dos poucos restaurantes de Salvador que não cobra taxa de serviço.']",1,1
"['Há pouco tempo abriram  uma Forneria anexa ao restaurante, que consegue ser ainda melhor do que o restaurante.']",1,1
['Tem ótimos pratos feitos no forno à lenha e os MELHORES drinques da cidade.'],1,1
['O Gin Tonic é impedível!!'],0,0
['!'],0,0
"['Ambiente agradável, atendimento rápido, produtos excelentes e ótimo ambiente a preços justos e atendimento cordial.']",1,1
['Frontera passou por uma fase complicada e cheguei a parar de frequentar mas felizmente foi superada!'],1,-1
['Alem do Buffet conta com o rodizio de pizza.'],0,0
['Tudo muito gostoso e caprichado.'],1,1
['Atendimento muito bom!'],1,1
['Voltei.'],0,0
['Recomendo!'],0,0
['Vista linda e ótimo atendimento.'],1,1
"['Se quiser entrada, vale a pena experimentar o palmito.']",0,1
"['O polvo estava delicioso, no ponto certo.']",1,1
"['Por fim, adorei a torta de chocolate com castanhas.']",1,1
['Acho muito interessante ter a promoção do UBER ao faze a reserva no site do restaurante.'],1,1
"['Não como carne há anos, mas minha família come, então sempre vamos ao Rio Brasa, que além das melhores carnes, possuem muitas opções de frutos do mar.']",1,1
['O polvo com alho e óleo é demais!'],1,1
['O salmão mega fresco e saboroso.'],1,1
"['Ainda na comida japonesa, tem uma especialidade na casa, coxinhas de salmão (fina fatia de salmão recheada de cream cheese e coberta com gergelim triturado e molho doce) delícia!']",1,1
['Carta de vinho com bons rótulos.'],1,1
"['Se puder, vá de dia de semana, a qualidade no atendimento é mil vezes melhor que finais de semana, onde tem muita fila, barulho e correria!']",1,1
['Dia de semana é tratamento vip e exclusivo!'],0,0
['Situada no largo Zumbi dos Palmares tem o ponto alto no estacionamento que é em frente.'],0,0
['As mesas e cadeiras são desconfortáveis é muito juntas dificultando inclusive o atendimento que mesmo assim é bom.'],1,-1
['A climatização é razoável mas o local é muito úmido.'],1,1
['O WiFi é sem senha mas muito lento.'],1,-1
['O nível de ruído do ambiente é muito alto.'],1,1
['Os toaletes são muito simples e sem cuidado com a limpeza e com um agravante do masculino estar localizado no piso superior com acesso por escada fixa estreita.'],1,1
"['A carta de cervejas é razoável mas com preços altos e a carta de vinhos tem 38 itens com preços desde R$ 10,00 (taça) até R$ 87,09 (Andeluna Malbec Argentino).']",1,1
"['Os preços das pizzas são: individual R$ 29,90, 1/4 metro R$ 44,90 e 1/2 metro R$ 69,90.']",1,0
['A massa é alta e se aproxima da que se faz em casa sem descanso da massa é servida com temperatura de 48 graus e ainda com a pedra com temperatura em torno de 70 graus e portanto sem capacidade de manter a temperatura adequada para consumo.'],1,1
"['Os preços são altos para que é oferecido mas a empresa trabalha com site de descontos e daí os preços ficam adequados, o que acho injusto pois meu no caso paguei o preço alto já que não verifiquei antes e não imprimi do boleto que me daria o desconto.']",1,1
['Custo x benefício ruim.'],1,-1
"['Este bar, fica a cerca de 30 metros do Palace flat, tem um atendimento excelente, varias marcas de cervejas, sempre bem geladas e assim com o a picanha fatiada no ponto , lugar de gente feliz.']",1,1
"['Quando chegamos à Maceio, ouvi falar muito do Imperador doa Camarões, e obviamente precisei vir conhecer.']",1,0
"['Escolhemos o prato chefe da casa, que é o famoso ""chiclete de camarão"".']",1,1
"['Eh bem diferente e é gostoso, porém tem que gostar muito de queijo, pois o prato tem 04 tipos de queijo diferentes e tem muito camarão, essa é a melhor parte.']",1,1
"['Eles cobram R$6,00 por pessoa de couvert artístico mais a taxa de serviço.']",0,0
"['Quando eu fui, eu paguei apenas o couvert artístico e optei por não tenho pagar a taxa de serviço, pois achei um absurdo pagar o couvert artístico por pessoa mais a taxa de serviço.']",1,-1
['Quem não gosta de um churrasco?'],0,0
"['esse lugar é um lugar lindo,agradável e muito confortável,vale a pena.']",1,1
['Saímos de longe e de outros estados em um grupo de 20 pessoas para Nos divertir-mos.'],0,1
['.'],0,0
"['Se você não se importa com pedidos errados e com abelhas ou cabelos como na ""pititinga"" que pedimos aqui é o lugar ideal!']",1,1
"['Conheço a tradição da casa por fama, mas se depender do sanduíche, realmente estão num nível bem alto.']",1,1
['O pitú da Eliane é uma delicia!'],0,0
"['O Pedro, irmão da Eliane, é um capitulo a mais nessa deliciosa surpresa.']",1,1
['Fui ao La Bocca depois de ler tantos comentários elogiosos e empolgados.'],1,1
['Antes de tudo quero dizer que não entendo o porquê de alguns criticarem tanto a localização.'],1,1
"['É uma rua calma, residencial, cujas casinhas lembram bastante os subúrbios cariocas.']",1,0
['Uma graça!'],0,0
['Agora falarei da comida.'],0,0
['Pedi o tão elogiado gnocchi de banana da terra com ragu de ossobuco.'],1,1
"['A primeira garfada é deliciosa, mas, aos poucos, torna-se enjoativo dada a ausência de nuances, texturas e camadas de sabores.']",1,1
['O molho de ossobuco peca pelo excesso de sal.'],0,0
"['No geral, um prato correto, mas nada esplendoroso.']",1,1
"['Ressalto, entretanto, que é um oásis comer uma massa fabricada na casa nesse Rio de Janeiro povoado de massas de salgadinho de terceira congeladas disfarçadas de gnocchi.']",0,0
['Local com uma decoração criativa.'],1,1
['Pequeno.'],1,-1
"['Não possui muita variedade e a comida vai de boa a sem graça, depende do prato e do dia.']",1,1
"['O preço é bom para o self-service, mas as bebidas são caras.']",1,1
"['Ao visitar o Shopping Salvador,e caso goste de comida árabe uma boa opção é o Farid,lá você poderá saborear as delicias do restaurante com qualidade de um bom serviço.']",1,1
['Um restaurante agradável com uma carta de vinhos diferenciada e com ótimas opções no cardápio.'],1,1
['Sugiro o prato de salmão e o vinho “Primitivo de Manduria”.'],0,0
"['Atendimento bom, comida muito saborosa e bem servida.']",1,1
['Provavelmente vou voltar.'],0,0
['Tem opções pra quem não come sushi.'],0,0
['Senti falta de um espaço kids'],0,0
"['Nova padaria que apareceu na cidade do natal, a comida é perfeita em qualquer horario, café almoço e janta.']",1,1
['preço um pouco salgado mais que vale a pena pelo otimo atendimento e a qualidade dos alimentos.'],1,1
"['Chocolates ""caseiros"", mas elaborados com requinte e sofisticação.']",0,0
"['Achei um pouco gordurosos, mas mesmo assim são gostosos.']",1,1
"['Comida muito bem feita e muito gostosa, parece com a comida que comemos em casa, bom atendimento, a comida está sempre quentina e o atendimento sempre muito bom.']",1,1
['Adoro crepes e estes são leves e apetitosos.'],1,1
['Gostei muito dos crepes doces com sorvetes.'],1,1
['Os com saladas também são muito bons.'],1,1
"['Adoro o Che, costumo frequentar ao menos 1 vez por mês.']",1,1
['As carnes são muito deliciosas e os acompanhamentos também.'],1,1
['A carta de vinhos é muito boa e eles sempre oferecem promoções em determinados vinhos.'],1,1
"['O lugar é muito bonito, meia luz, ideal para jantar em casal ou levar os amigos.']",1,1
['Recomendo!'],0,0
['Foi a melhor descoberta.'],1,1
"['Todo encanto começa pela decoração muito aconchegante, passando pela simpatia das funcionárias e o ""ponto alto"" é a qualidade e variedade dos sorvetes, TODOS de excelente qualidade!!!']",1,1
['Sou fã desse lugar.'],0,0
"['Amo a gastronomia, amo atendimento de qualidade, amo me sentir a vontade e amo coisas boas, rs.']",1,1
['.. tudo isso eu encontrei na ONI UNO.'],0,0
"['Desejo muuuuito sucesso e uma unidade em águas claras, rs.']",0,1
"['Não é só pra quem gosta de lanches leves, o local de atendimento mantém o mesmo padrão de qualquer subway no país.']",1,1
['O situado na Avenida Abunã é ainda mais confortável.'],1,1
['A comida é saborosa e as porções são muito bem servidas.'],1,1
"['Apesar de ser um pouco caro, vale muito a parada!']",1,-1
['desculpem desaponta-los masn nao entre na onda desse chiclete de camara nada mais e que um monte de queijo derretido em cima que tira todo sabor do camarao ou sera que tinha camarao no prato'],1,1
['Restaurante a quilo com comida gourmet!'],0,0
['Comida saborosa e bem elaborada.'],0,0
"['Grande variedade de saladas, pratos quentes com ingredientes especiais e carnes nobres!']",1,1
['E de sobremesa cheesecake de frutas vermelhas!'],0,0
['Recomendo muito esse restaurante!!!'],1,1
['Maravilhoso!'],1,1
"['Excelente bar, música, ambiente, recepção sem falar a cerveja né.']",1,1
['... são muitas opções para degustação.'],1,1
"['Visite este lugar sem medo de ser feliz, não irá se arrepender.']",1,1
['Nos amamos trufas entao foi maravilhoso.'],1,1
"['.. O ambiente e pequeno, e bom chegar cedo, comemos de entrada 1 queijo empanado com mel de trufas brancas 😍 aqui tbm vende os produtos eu comprei 1 pote de mel para comer em casa, e finalizanos com 2 sobremesas um mousse e um brigadeiro com marshmelow e sorvete de mascarpone com trufas tambem.']",0,0
['.. Tuuudo com trufas.'],1,1
['Muito bom.'],0,0
"['A barraca foi bastante recomendada por um amigo que já conhecia Salvador, e por moradores em Stella Maris.']",1,1
"['O cardápio era bem diversificado com preços um pouco acima da média dos lugares que já havíamos frequentado, o problema foi que mais de 50% do que tentamos pedir estava em falta (segundo o garçom, que estava visivelmente cansado, o movimento no dia anterior havia superado todas as expectativas da barraca e os fornecedores só fariam entrega na terça).']",1,-1
"['A barraca é bem estruturada, tem quiosque com massoterapeuta para quem deseja relaxar um pouco, acredito que nossa experiência teria sido positiva se tivéssemos ido no sábado ou domingo porém, para dias como foi o que nós visitamos, teria sido melhor que estivesse fechada.']",1,1
"['Lugar super charmoso, com decoração de fazenda e comida deliciosa.']",1,1
"['Provamos o carro chefe da casa, o rojão, uma espécie de kafta de carne de porco muito bem servido para duas pessoas.']",1,1
"['Diz que é uma entrada, mas comemos como prato principal junto com saladinha para aplacar a culpa.']",1,-1
"['A limonada de limão cravo é saborosa, mas o tamanho apresentado no cardápio engana.']",0,0
"['Diz que são 450 ml, mas vem com tanto gelo e rodelas do limão dentro, que o suco mesmo deve ser metade disso.']",0,1
"['Em geral gostamos muito, mas o lugar lota e vale a pena fazer reserva.']",1,1
"['Fizemos e deu tudo certo, mas vimos gente esperando um tempão para sentar.']",1,-1
"['O frango desossado é delicioso, o melhor que já provei e os acompanhamentos também são deliciosos!']",1,1
['O ambiente deixa a desejar pois não possui ar condicionado e o calor fica mais intenso devido a churrasqueira.'],1,1
"['Um clássico de Copa, tudo bem simples.']",1,1
['mais atendimento nota 10.'],1,1
['E a comida?'],0,0
['- MARAVILHOSA.'],1,1
['Varias opçoes e tudo com muita fartura.'],0,0
"['O Restaurante obtém um ótimo menu, excelentes pratos, ambiente referência, aconchegante e agradável com atendimento dos funcionários ótimo.']",1,1
['Excelente massa e excelente carne.'],1,1
['Nem percebi que a especialidade era pizzaria.'],0,0
['Excelente custo x benefício quando comparado com os restaurante do eixo RJ-SP.'],1,1
"['De passagem por BH, é a minha segunda vez no Glouton.']",0,0
"['É uma unanimidade, está entre os melhores de BH!']",1,1
['Vale ligar antes e fazer reserva.'],0,0
"['Dessa vez fomos numa quarta-feira, após as 21h e ainda tinha fila de espera.']",0,0
['Fomos numa entrada de queijo com um molho doce de entrada.'],1,1
['Prato principal: fui no prato a base de Leitoa e pra fechar brownie com sorvete  de creme e whisky (preferi o profiteroles da vez anterior).'],1,0
"['Todos os pratos, de uma maneira geral, são feitos sob medida.']",1,1
"['Sem exagero, mas não muito minguado.']",1,-1
"['Os valores, são caros!']",1,-1
['Natural pela demanda e qualidade.'],1,-1
"['Otimista atendimento, instalações minuciosamente devorada é uma cozinha aquário com os Chefs preparando e todo restaurante podendo acompanhar como uma vitrine de um shopping.']",1,1
['Vale a experiência!'],0,1
"['Cerveja gelada, ótimas opções de tira-gosto.']",1,1
['O som também é muito legal e com frequência há shows ao vivo.'],1,1
['Restaurante organizado.'],0,0
['Preços acessíveis.'],0,0
['Bom atendimento.'],1,1
['Boa diversidade de pratos e opções.'],1,1
['Funcionários cortês.'],1,1
['Gnochi a la salsa com camarão DIVINO!'],0,0
['Uma excelente pedida para quem aprecia esse tipo de massa.'],1,1
"['Prato suculento e bem servido, num ambiente intimista e charmoso.']",1,1
"['Lugar muito bem planejado, aconchegante e maravilhoso.']",1,1
['O petit gateau do mercato é sensacional.'],1,1
['O atendimento também é muito bom.'],1,1
['é uma panificadora bem localizada o pão tava bem quetinho rsrsrs.'],1,1
['e com um otimo atendimento.'],1,1
['com varios tipos de lanches tbem.'],1,0
"['Um mistura deliciosa, com massas variadas, custo beneficio excelente, ambiente acolhedor, para reunir familias e amigos.']",1,1
['Bufet livre com grelhados na mesa.'],1,1
['.'],0,0
['Além de ótimas massas e sobremesas.'],1,1
"['Excelente atendimento,  muito prestativo.']",1,1
['Preço achei um pouco salgado.'],1,-1
['A típica cozinha italiana está bem representada na Barra pelo Ettore.'],1,-1
['Um ambiente aconchegante com diversas opções de massas e também carnes.'],1,-1
['A carta de vinhos também é interessante e existe a opção de tomar somente uma taça.'],1,1
"['O restaurante possui mesas do lado de fora, ao centro e também um ambiente interno, mais reservado.']",0,1
"['As carnes são saborosas, bom preparadas, o buffet é bem variado, tem boas saladas, lagosta grelhada, polvo, e outras delícias.']",1,1
['O atendimento é muito bom.'],1,1
['O preço é justo para uma churrascaria com uma variedade tão boa de carnes.'],1,1
"['Apesar da mesma decoração temática de boteco, o atendimento e o ""glamour"" de boteco se perde um pouco nessa unidade.']",0,0
"['Se sua preferência é por um boteco mesmo, prefira o da Cidade Baixa.']",0,0
"['Apesar da comida ser boa, faltaram garçons em número suficiente e ainda anotaram errado o meu pedido.']",1,1
['Atendimento excelente e comida maravilhosa!'],1,1
['Possui opções de preços para todos os bolsos.'],0,0
['Os pratos são muito bem servidos!!'],1,1
['Pra quem gosta de frutos do mar é um lugar ótimo!'],1,1
['!'],0,0
"['A culinária local é excelente, mas nada se compara ao cardápio e combinações que esse restaurante foi capaz de proporcionar.']",1,1
['São pratos que fazem a gente gemer de prazer!'],0,0
['Indico a banda de tambaqui não é como as demais!'],0,0
['- que vem acompanhada de uma  macaxeira grelhada que é de rezar.'],0,0
['...'],0,0
"['Ótimo ambiente para família, conta com parque infantil anexo, aonde as crianças se divertem enquanto os pais seguramente comem (as pizzas são muito boas, nunca comi as panquecas), recomendo a todos com família,']",1,1
"['pizza maravilhosa, bem recheada, massa grossa.']",1,1
"['Decoracao encantadora, tem 2 andares.']",1,1
['Chao coberto de areia.'],0,0
['Atendimento otimo'],1,1
"['nota 10,perfeito p o fim d tarde.']",1,1
['Quem chega cedo tem mesas do lado d fora p curtir o mar'],1,1
['O restaurante tem uma decoração belíssima e um ambiente requintado.'],1,1
"['Os preços são caros, mas a refeição é simplesmente inesquecível!']",1,1
['A melhor comida que provei na cidade.'],1,1
"['No dia em que fomos, enfrentamos uma pequena fila de espera e, após o pedido,  esperarmos um bocado para o mesmo chegar à mesa.']",1,-1
"['Ambiente de muito bom gosto, iluminação suave, tudo novinho!']",1,1
"['Cardápio variadíssimo, de comida nordestina à oriental!']",1,1
['Grande variedade também na parte das bebidas.'],1,1
['Preço razoável.'],1,1
"['Às sextas e sábados, de noite, tem música instrumental ao vivo, completando o charme do restaurante.']",1,1
['Grata surpresa!'],0,0
"['Parece mais do mesmo, igual a vários outros restaurantes típicos de ""almoço de domingo com a família"", mas acredito que vale a pena registrar: tem um belo salmão no buffet, tem parquinho para as crianças, garçons e equipe bem treinada e orientada e bons preços para as promoções do dia, como a costela assada com molho barbecue, que serve muito bem 3 pessoas a R$ 98,00.']",1,1
"['Contudo, alguém já citou, parece que resolveram aumentar consideravelmente o preço de outros itens para cobrir o desconto das promoções.']",1,-1
"['Nada de anormal, até porque, sendo muito parecido com outros lugares, não é o tipo de restaurante que você vai mais de um domingo por mês.']",1,1
"['..Então, é a estratégia que a maioria dos empresários adota.']",1,1
['.. Faz parte.'],0,0
"['Lindo restaurante, ambiente aconchegante em meio a um arborizado jardim.']",1,1
['Cardápio variado com ótimas opções de vinho e deliciosas sobremesas.'],1,1
['Atendimento e pratos com qualidade e custo / benefício.'],0,0
['Agradável ambiente\nLocal com estacionamento seguro'],1,1
"['Local agradável, bem frequentado e com um serviço bem prestado.']",1,1
['O atendimento superou a expectativa e é um diferencial do local.'],0,0
['Certamente voltaria e indico para meus amigos.'],0,0
"['Comida típica nordestina, pratos variados mas o que eu gosto mesmo é da carne de sol, boa qualidade, bom atendimento (caracterizado pela rapidez e são atenciosos), o restaurante é bem decorado e espaçoso, bom para família e crianças.']",1,1
['A vista vale a visita!'],0,1
['A comida é razoável e as bebidas são extremamente caras.'],1,-1
['O ambiente é muito gostoso e oferece uma vista panorâmica da cidade de São Paulo vista de um dos mais bonitos hotéis da cidade.'],1,1
['A partir das 18h tem rodízio de pizza e de crepe no Frontera de Copacabana.'],0,0
['Fora a comida que é muito boa e o refil de refrigerante a decoração do local é demais.'],1,1
['Fiquei encantada!'],1,1
['!'],0,0
['Local super agradável e cardápio com ótimas opcoes.'],1,1
['Boa carta de vinho.'],1,1
['Excelente para um jantar romântico.'],1,1
['Imperdível.'],0,0
"['Café maravilhoso, pão de queijo bem torradinho, atendimento excelente com destaque para as lojas do Ateneu e shooping Midwey.']",1,1
