ReviewBody;Objetiva ;Subjetiva ;Polaridade: Positiva (1), Negativa (-1) e Neutra (0)
['Comida lusitana da melhor qualidade, cardápio bem humorado (Lula à moda FHC, sobremesa Viva o Gordo, Siri Dando Sopa, etc.'];;1;1
[')... Imperdível!'];;1;1
['Ótima localização entre as praias de Iracema e Meireles.'];;1;1
['Sempre lotado e comida de ótima qualidade, mas prepare o bolso pois os preços são bem salgados.'];;1;1
['..'];0;;
['Gostei muito do boi bom , excelente estabelecimento, super cordiais com os clientes, vale a pena conferir'];;1;1
['A comida é muito boa e apesar de cheio o atendimento é rápido.'];;1;1
['O que chama mais atenção é o ambiente que lembra uma construção inacabada com música ambiente.'];0;;
['Recomendo!'];;1;1
['!'];0;;
['Estivemos no restaurante do shopping no dia 1/12.'];0;;
['Fomos muito bem atendidos.'];;1;1
['Solicitamos um prato de peixe com camarão que não foi entregue de acordo com o cardápio, mas a cozinha e a atendente providenciaram em complementar o prato de acordo com o solicitado.'];;1;-1
['Informaram que o cardápio havia mudado há poucos dias e a cozinha ainda não havia se acostumado com as novidades.'];0;;
['Prato saboroso e lugar agradável.'];;1;1
['Ambiente bem bacana, adoro o atendimento, comida ótima.'];;1;1
['Indico o sanduiche Mercado São Sebastião.'];;1;1
['Perfeita com uma Endiger Dunkel 😉'];;1;1
['Mas valeu a pena.'];;1;1
['Que camarões deliciosos.'];;1;1
['Foi uma escolha sem pretenção pois estavamos com pressa, mas muito bom, só o preço que desagradou.'];;1;1
['.. salgou'];0;;
"['Comida deliciosa e atendimento cordial; garçons atenciosos ...sem contar na localização.']";;1;1
['Voltarei com certeza.'];;1;1
['Melhor sobremesa da vida!'];;1;1
['Estava fazendo compras e paramos nesse restaurante por kg para almoçar, nos pareceu o mais tranquilo e limpo na região.'];;1;0
['Foi um almoço simples ambiente limpo e comida para o dia a dia.'];;1;0
['Foi uma boa opção para a região.'];;1;0
['Acredito que uma das melhores em custo benéfico'];;1;1
['Ótimo ambiente.'];;1;1
['Comida saborosa.'];;1;1
['Preço justo.'];;1;1
['Boa opção para comemorar aniversário poisbtem um ambiente separado.'];;1;1
['Esse restaurante serve uma comida simples mas muito boa, o filés são a melhor parte do cardápio, mas fique atento à mostarda que vem na mesa, certamente a mais forte que eu já provei em toda minha vida!'];;1;1
['O atendimento é rápido e o ambiente é simples mas confortável, uma boa opção.'];;1;1
['Já fui algumas vezes ao Pasta em Casa, e a experiência é sempre extremamente agradável.'];;1;1
['O é dividido entre o restaurante, uma mercearia e uma forneria.'];0;;
['A comida é muito boa, segue um modelo de cozinha mais artesanal e de menor escala, e consegue ter qualidade constante.'];;1;1
['O ambiente, que modificou bastante e cresceu ao longo do tempo, é bem charmoso!'];;1;1
['A decoração é descolada, com iluminação na medida e tudo de muito bom gosto.'];;1;1
['O atendimento é muito bom, com os donos sempre presentes, e é um dos poucos restaurantes de Salvador que não cobra taxa de serviço.'];;1;1
['Há pouco tempo abriram  uma Forneria anexa ao restaurante, que consegue ser ainda melhor do que o restaurante.'];;1;1
['Tem ótimos pratos feitos no forno à lenha e os MELHORES drinques da cidade.'];;1;1
['O Gin Tonic é impedível!!'];;1;1
['!'];0;;
['Ambiente agradável, atendimento rápido, produtos excelentes e ótimo ambiente a preços justos e atendimento cordial.'];;1;1
['Frontera passou por uma fase complicada e cheguei a parar de frequentar mas felizmente foi superada!'];;1;1
['Alem do Buffet conta com o rodizio de pizza.'];0;;
['Tudo muito gostoso e caprichado.'];;1;1
['Atendimento muito bom!'];;1;1
['Voltei.'];0;;
['Recomendo!'];;1;1
['Vista linda e ótimo atendimento.'];;1;1
['Se quiser entrada, vale a pena experimentar o palmito.'];0;;
['O polvo estava delicioso, no ponto certo.'];;1;1
['Por fim, adorei a torta de chocolate com castanhas.'];;1;1
['Acho muito interessante ter a promoção do UBER ao faze a reserva no site do restaurante.'];0;;
['Não como carne há anos, mas minha família come, então sempre vamos ao Rio Brasa, que além das melhores carnes, possuem muitas opções de frutos do mar.'];;1;1
['O polvo com alho e óleo é demais!'];;1;1
['O salmão mega fresco e saboroso.'];;1;1
['Ainda na comida japonesa, tem uma especialidade na casa, coxinhas de salmão (fina fatia de salmão recheada de cream cheese e coberta com gergelim triturado e molho doce) delícia!'];;1;1
['Carta de vinho com bons rótulos.'];;1;1
['Se puder, vá de dia de semana, a qualidade no atendimento é mil vezes melhor que finais de semana, onde tem muita fila, barulho e correria!'];;1;0
['Dia de semana é tratamento vip e exclusivo!'];;1;1
['Situada no largo Zumbi dos Palmares tem o ponto alto no estacionamento que é em frente.'];0;;
['As mesas e cadeiras são desconfortáveis é muito juntas dificultando inclusive o atendimento que mesmo assim é bom.'];;1;1
['A climatização é razoável mas o local é muito úmido.'];;1;-1
['O WiFi é sem senha mas muito lento.'];;1;-1
['O nível de ruído do ambiente é muito alto.'];;;
['Os toaletes são muito simples e sem cuidado com a limpeza e com um agravante do masculino estar localizado no piso superior com acesso por escada fixa estreita.'];;1;-1
['A carta de cervejas é razoável mas com preços altos e a carta de vinhos tem 38 itens com preços desde R$ 10,00 (taça) até R$ 87,09 (Andeluna Malbec Argentino).'];0;;
['Os preços das pizzas são: individual R$ 29,90, 1/4 metro R$ 44,90 e 1/2 metro R$ 69,90.'];0;;
['A massa é alta e se aproxima da que se faz em casa sem descanso da massa é servida com temperatura de 48 graus e ainda com a pedra com temperatura em torno de 70 graus e portanto sem capacidade de manter a temperatura adequada para consumo.'];;1;-1
['Os preços são altos para que é oferecido mas a empresa trabalha com site de descontos e daí os preços ficam adequados, o que acho injusto pois meu no caso paguei o preço alto já que não verifiquei antes e não imprimi do boleto que me daria o desconto.'];;1;-1
['Custo x benefício ruim.'];;1;-1
['Este bar, fica a cerca de 30 metros do Palace flat, tem um atendimento excelente, varias marcas de cervejas, sempre bem geladas e assim com o a picanha fatiada no ponto , lugar de gente feliz.'];;1;1
['Quando chegamos à Maceio, ouvi falar muito do Imperador doa Camarões, e obviamente precisei vir conhecer.'];0;;
"['Escolhemos o prato chefe da casa, que é o famoso ""chiclete de camarão"".']";0;;
['Eh bem diferente e é gostoso, porém tem que gostar muito de queijo, pois o prato tem 04 tipos de queijo diferentes e tem muito camarão, essa é a melhor parte.'];;1;1
['Eles cobram R$6,00 por pessoa de couvert artístico mais a taxa de serviço.'];0;;
['Quando eu fui, eu paguei apenas o couvert artístico e optei por não tenho pagar a taxa de serviço, pois achei um absurdo pagar o couvert artístico por pessoa mais a taxa de serviço.'];;1;-1
['Quem não gosta de um churrasco?'];0;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
